City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,40,AR,1583030139,76,-54.8,-68.3,51.8,9.17
Avarua,1,CK,1583030141,74,-21.21,-159.78,84.2,6.93
Ribeira Grande,89,PT,1583030142,88,38.52,-28.7,57.99,20.76
Kaitangata,68,NZ,1583030143,73,-46.28,169.85,58.21,13.91
Kapaa,75,US,1583030144,73,22.08,-159.32,82.4,23.04
Bluff,95,NZ,1583030145,46,-46.6,168.33,69.55,4.81
Sitka,90,US,1583030146,74,57.05,-135.33,37.4,5.82
Zaria,99,NG,1583030148,16,11.11,7.72,74.01,7.58
Albany,20,US,1583030149,57,42.6,-73.97,21.2,9.17
Richards Bay,71,ZA,1583030150,68,-28.78,32.04,70.27,4.83
Narsaq,0,GL,1583030151,35,60.92,-46.05,6.8,4.7
Jiexiu,15,CN,1583030152,24,37.02,111.91,38.82,5.66
Nikolskoye,75,RU,1583030154,92,59.7,30.79,30.99,4.47
New Norfolk,100,AU,1583030155,43,-42.78,147.06,71.01,6.93
Santa Maria,0,BR,1583030156,72,-29.68,-53.81,68.0,4.7
Saint-Philippe,22,RE,1583030157,78,-21.36,55.77,77.0,3.36
Hobart,100,AU,1583030158,43,-42.88,147.33,71.01,6.93
Biltine,0,TD,1583030159,11,14.53,20.92,75.31,19.44
Prieska,13,ZA,1583030161,65,-29.66,22.75,68.43,11.14
Mahébourg,40,MU,1583030162,94,-20.41,57.7,77.0,3.47
Hermanus,0,ZA,1583030163,81,-34.42,19.23,64.99,4.0
Darhan,100,MN,1583030164,79,49.49,105.92,14.9,5.5
Guerrero Negro,95,MX,1583030165,51,27.98,-114.06,63.55,11.34
Thompson,90,CA,1583030167,92,55.74,-97.86,23.0,8.05
Punta Arenas,100,CL,1583030023,87,-53.15,-70.92,55.4,14.99
Cherskiy,0,RU,1583030169,90,68.75,161.3,1.2,4.41
Tuktoyaktuk,20,CA,1583030170,74,69.45,-133.04,-23.8,9.17
Olafsvik,100,IS,1583030171,60,64.89,-23.71,34.07,14.54
Senneterre,90,CA,1583030172,84,48.38,-77.23,6.8,2.24
San Patricio,0,MX,1583030174,74,19.22,-104.7,76.96,11.95
Qaanaaq,0,GL,1583030175,70,77.48,-69.36,-24.59,5.73
Yanam,75,IN,1583030176,78,16.73,82.22,75.2,4.7
Sonqor,40,IR,1583030177,75,34.78,47.6,42.8,4.7
Jamestown,20,US,1583030057,78,42.1,-79.24,27.0,10.29
Bindura,99,ZW,1583030179,87,-17.3,31.33,60.66,7.67
Havelock,1,US,1583030175,35,34.88,-76.9,42.8,8.05
Lebu,0,CL,1583030182,89,-37.62,-73.65,52.39,2.51
Rikitea,100,PF,1583030183,80,-23.12,-134.97,79.66,15.3
Upernavik,87,GL,1583030184,89,72.79,-56.15,-23.28,3.8
Bathsheba,40,BB,1583030185,69,13.22,-59.52,78.8,14.99
Lusambo,100,CD,1583030186,94,-4.97,23.45,70.72,2.57
Atuona,16,PF,1583030187,77,-9.8,-139.03,81.84,17.45
Iqaluit,40,CA,1583030189,75,63.75,-68.51,-16.01,4.7
Mataura,41,NZ,1583030190,48,-46.19,168.86,70.12,6.58
Kumul,0,CN,1583030009,27,42.8,93.45,40.6,2.55
Butaritari,100,KI,1583030192,81,3.07,172.79,82.49,19.22
Haines Junction,100,CA,1583030193,97,60.75,-137.51,11.39,9.91
Port Elizabeth,0,ZA,1583030194,88,-33.92,25.57,64.4,10.29
Palmas,99,BR,1583030195,93,-10.21,-48.36,73.47,0.6
Abnūb,0,EG,1583030197,62,27.27,31.15,53.6,10.29
Port Montt,0,CL,1583030027,77,-41.47,-72.94,62.6,8.05
Bredasdorp,14,ZA,1583030199,87,-34.53,20.04,64.99,9.17
Kruisfontein,0,ZA,1583030200,91,-34.0,24.73,58.28,6.55
Kailua,1,US,1583029930,69,21.4,-157.74,78.8,18.34
Evensk,0,RU,1583030202,75,61.95,159.23,10.36,9.82
Segezha,57,RU,1583030203,86,63.74,34.32,12.04,5.82
Busselton,69,AU,1583030122,35,-33.65,115.33,75.99,15.93
Tuatapere,80,NZ,1583030206,44,-46.13,167.68,69.69,5.41
Gushikawa,75,JP,1583030207,79,26.35,127.87,77.0,13.87
Bethel,1,US,1583030208,41,41.37,-73.41,27.0,6.93
Caravelas,76,BR,1583030209,81,-17.71,-39.25,80.83,6.87
Vaini,20,TO,1583030210,74,-21.2,-175.2,86.0,12.75
Tuy Hoa,45,VN,1583030211,85,13.08,109.3,76.05,6.64
Bambous Virieux,40,MU,1583030213,94,-20.34,57.76,77.0,5.41
Bengkulu,100,ID,1583030214,58,-3.8,102.27,88.92,0.56
Tiksi,8,RU,1583030215,86,71.69,128.87,-2.99,7.31
Mar del Plata,0,AR,1583030141,100,-38.0,-57.56,68.0,2.24
Lázaro Cárdenas,0,MX,1583030217,81,17.96,-102.2,74.95,3.36
Marabu,75,MY,1583030219,83,4.41,114.01,84.2,4.7
East London,0,ZA,1583030220,76,-33.02,27.91,67.8,17.11
Bam,1,IR,1583030221,34,29.11,58.36,58.37,2.75
Puerto Ayora,22,EC,1583030222,100,-0.74,-90.35,80.01,5.01
Sakakah,0,SA,1583030223,58,29.97,40.21,53.6,10.29
